Church Name,Careportal,Denomination,Street Address,City,ZIP,Website,Phone
Mission Viejo Christian Church,,Independent Christian Church,27192 Jeronimo Rd,Mission Viejo,92692,mvcchome.org,949-465-1940
Calvary Chapel Mission Viejo,,Calvary Chapel,24821 Chrisanta Dr,Mission Viejo,92691,calvarymissionviejo.com,949-768-4191
Church of the Master,,Presbyterian,26051 Marguerite Pkwy,Mission Viejo,92692,churchofthemaster.com,949-582-2670
Coast Bible Church,,Bible Church,26300 Via Escolar,Mission Viejo,92692,coastbible.org,949-364-6670
Mariners Church – Mission Viejo,,Non-denominational,26862 Crown Valley Pkwy,Mission Viejo,92691,marinerschurch.org,
Mission Hills Baptist Church,,Baptist,24162 Alicia Pkwy,Mission Viejo,92691,missionhillschurch.org,949-586-4510
Mission Viejo Church of Christ,,Church of Christ,26558 Marguerite Pkwy,Mission Viejo,92692,mvcoc.org,949-582-2650
Mount of Olives Church,,Lutheran,24772 Chrisanta Dr,Mission Viejo,92691,moochurch.org,949-837-7467
Saddleback Covenant Church,,Non-denominational,23401 Madero #A,Mission Viejo,92691,saddlebackcovenant.com,949-707-1211
Shepherd of the Hills UMC,,United Methodist,26001 Muirlands Blvd,Mission Viejo,92691,shepherdorthehills.org,949-837-2941
West Coast Wesleyan Church,,Wesleyan,23211 Stella Ct,Mission Viejo,92691,,
Crossroads Community Church,,Non-denominational,25991 Pala,Mission Viejo,92691,crossroadsoc.org,949-837-2435
Fearless OC,,Non-denominational,27741 Crown Valley Pkwy,Mission Viejo,92691,fearlessla.com/oc,
Joy Persian Church,,Pentecostal,24932 Veterans Way,Mission Viejo,92692,,
Mission Calvary,,Calvary Chapel,24932 Veterans Way,Mission Viejo,92692,missioncalvary.com,
Titus Ministries,,Independent Baptist,— (mailing: PO Box 222),Mission Viejo,92690,titusministries.org,
South County Foursquare Church,,Foursquare,27741 Crown Valley Pkwy,Mission Viejo,92691,,
St. Kilian Catholic Church,,Roman Catholic,26872 Estanciero Dr,Mission Viejo,92691,stkilianchurch.org,949-586-4440
Centro Familiar Cristiano,,Southern Baptist,25171 Moor Ave,Mission Viejo,92691,,
Church in Mission Viejo,,Non-denominational,25025 Chrisanta Dr,Mission Viejo,92691,churchinmissionviejo.org,
Gateway Community Church,,Community,28570 Marguerite Pkwy,Mission Viejo,92692,gccvistage.org,
Iglesia De Jesucristo,,Hispanic Christian,23850 Los Alisos Blvd,Mission Viejo,92691,,
Saddleback Valley Community Church,,Evangelical,23456 Madero Ste 100,Mission Viejo,92691,,
Saddleback Valley Foursquare Church,,Foursquare,28185 Cascabel,Mission Viejo,92692,,
Sea Ridge Baptist Church,,Baptist,23831 Via Fabricante Ste 301,Mission Viejo,92691,,
Urim Korean Church (MV),,Korean Christian,22951 Los Alisos Blvd Ste 6,Mission Viejo,92691,,
Valley Christian Church,,Non-denominational,23762 Singapore St,Mission Viejo,92691,,
Community Lutheran Church,,Lutheran,30322 Via Con Dios,Rancho Santa Margarita,92688,clcrsm.org,949-858-0307
St. John’s Episcopal Church,,Episcopal,30382 Via Con Dios,Rancho Santa Margarita,92688,stjohns-es.org,949-888-4595
San Francisco Solano Catholic Church,,Roman Catholic,22082 Antonio Pkwy,Rancho Santa Margarita,92688,sfsolano.org,949-589-7767
Santa Margarita United Methodist Church,,United Methodist,30605 Avenida de Las Flores,Rancho Santa Margarita,92688,smumc.net,949-589-1502
Stonecreek Christian Church,,Independent Christian,30161 Avenida de Las Banderas #B,Rancho Santa Margarita,92688,stonecreek.org,949-459-8477
Living Water Community Church,,Calvary Chapel,30071 Tomas,Rancho Santa Margarita,92688,livingwateroc.org,949-766-1810
Calvary Chapel RSM,,Calvary Chapel,30615 Avenida de Las Flores,Rancho Santa Margarita,92688,calvaryrsm.org,949-858-6170
Foothills Church,,EFCA,23122 Arroyo Vista,Rancho Santa Margarita,92688,foothillschurchrsm.com,949-586-0273
RSM South Foursquare Church,,Foursquare,30162 Tomas,Rancho Santa Margarita,92688,,
Mission Viejo First Church,,Missionary,30442 Via Con Dios,Rancho Santa Margarita,92688,,
Santa Margarita Ministry,,United Methodist,22521 Avenida Empresa Ste 105,Rancho Santa Margarita,92688,,
Saddleback Family Church,,Non-denominational,29821 Aventura,Rancho Santa Margarita,92688,,
Christ Lutheran Church,,Lutheran,35522 Camino Capistrano,San Clemente,92672,christlutheran.org,949-496-2621
Cornerstone Community Church,,Non-denominational,708 Avenida de la Estrella,San Clemente,92672,cornerstonechurchsc.org,949-492-2626
Heritage Christian Fellowship,,American Baptist,190 Avenida La Pata,San Clemente,92673,heritagechristianfellowship.com,949-361-1022
Our Lady of Fatima Catholic Church,,Roman Catholic,105 N. La Esperanza,San Clemente,92672,olfchurch.net,949-492-4101
Our Savior’s Lutheran Church,,Lutheran,200 Avenida San Pablo,San Clemente,92672,oursaviorsonline.com,949-492-6164
Pacific Coast Church,,Non-denominational,2651 Calle Frontera,San Clemente,92673,pacificcoastchurch.org,949-940-2600
Saddleback Church – San Clemente,,Southern Baptist,1311 Calle Batido,San Clemente,92673,saddleback.com,
St. Michael’s Episcopal Church,,Episcopal,107 W. Marquita,San Clemente,92672,stmichaelsc.org,949-366-9480
San Clemente Presbyterian Church,,Presbyterian,119 N. Avenida de la Estrella,San Clemente,92672,scpres.org,949-492-6158
St. Clement’s by-the-Sea UMC,,United Methodist,202 Avenida Aragon,San Clemente,92672,scbythesea.org,949-492-3401
Calvary Chapel San Clemente,,Calvary Chapel,1130 Avenida Talega,San Clemente,92673,calvarysanclemente.org,949-228-9117
Lighthouse Church,,Foursquare,1101 Calle Puente,San Clemente,92672,lighthousesanclemente.org,949-366-1970
Outpouring Church,,Charismatic,— (coming soon),San Clemente,92672,outpouringchurch.com,
South County Church of Christ,,Church of Christ,1327 Calle Avanzado Ste A,San Clemente,92673,,949-240-4770
Talega Life Church (Sea Coast),,EFCA,1040 Calle Negocio,San Clemente,92673,seacoastgrace.org,
St. Andrew’s by-the-Sea UMC,,United Methodist,2001 Calle Frontera,San Clemente,92673,sabts.org,949-492-2537
Marina Ranch Christian Church,,Non-denominational,657 Camino de Los Mares #133,San Clemente,92673,,
New Life Christian Center,,Non-denominational,675 Camino de Los Mares #401,San Clemente,92673,,
Shoreline Church – San Clemente,,Non-denominational,300 S. El Camino Real #211,San Clemente,92672,shoreline.church,949-481-5451
South County Community Church,,Community,101 Avenida Serra,San Clemente,92672,,
Vineyard Christian Fellowship,,Vineyard,102 Paseo de la Serenata,San Clemente,92673,,
Calvary Chapel South County,,Calvary Chapel,33157 Camino Capistrano,San Juan Capistrano,92675,ccsouthcounty.org,949-443-2572
Mariners Church – Ocean Hills,,Non-denominational,32222 Del Obispo,San Juan Capistrano,92675,marinerschurch.org/oceanhills,
Mission Basilica San Juan Capistrano,,Roman Catholic,31520 Camino Capistrano,San Juan Capistrano,92675,missionsjc.com,949-234-1360
Saddleback Church – Rancho Capistrano,,Southern Baptist,29251 Camino Capistrano,San Juan Capistrano,92675,saddleback.com,
St. Margaret’s Episcopal Church,,Episcopal,31641 La Novia Ave,San Juan Capistrano,92675,stmarg.org,949-661-0110
Iglesia Bíblica “Salvos por Gracia”,,Non-denominational,32261 Camino Capistrano Ste D105,San Juan Capistrano,92675,,
REIGN Christian Fellowship,,Charismatic,32261 Camino Capistrano,San Juan Capistrano,92675,reignchristianfellowship.org,
Capistrano Valley Church,,Southern Baptist,32032 Del Obispo St,San Juan Capistrano,92675,capovalleychurch.com,949-443-2572
San Juan Capistrano Old Mission,,Catholic,31520 Camino Capistrano,San Juan Capistrano,92675,missionsjc.com,949-234-1360
South Coast Christian Assembly,,Assemblies of God,31501 Avenida Los Cerritos,San Juan Capistrano,92675,southcoastchristian.com,949-240-4777
St. John the Theologian Mission,,Eastern Orthodox,32244 Paseo Adelanto,San Juan Capistrano,92675,stjohnanaheim.org,949-240-2433
Community Christian Church,,Independent Christian,31612 El Camino Real,San Juan Capistrano,92675,cccsjc.org,949-493-2006
Lifeway Church,,Southern Baptist,26333 Oso Rd #D,San Juan Capistrano,92675,lifewayoc.com,949-443-2300
Living Water Christian Fellowship,,Calvary Chapel,27762 Antonio Pkwy #L1,Ladera Ranch,92694,livingwateroc.org,949-716-9262
Trabuco Presbyterian Church,,Presbyterian,31802 Las Amigas Dr,Trabuco Canyon,92678,,
Trabuco Canyon Community Church,,Non-denominational,30121 Canyon Creek,Trabuco Canyon,92678,trabucochurch.org,949-858-0624
